task_id,mean_abs_skewness,mean_abs_excess_kurtosis,mean_abs_pearson_correlation,mean_abs_spearman_correlation,nonlinearity_gain_median,nonlinearity_gain_mean,nonlinearity_gain_max,cdfm_mean_edge_probability,cdfm_mean_confidence,cdfm_mean_entropy,cdfm_mean_margin,cdfm_edge_density,cdfm_max_degree,cdfm_auto_threshold,cdfm_threshold_margin_mean,cdfm_threshold_margin_p10,cdfm_threshold_margin_p25,cdfm_threshold_near_frac_002,cdfm_threshold_near_frac_005,cdfm_bootstrap_disagreement,cdfm_bootstrap_edge_jaccard,cdfm_bootstrap_probability_drift_mean,cdfm_bootstrap_probability_drift_p90,cdfm_bootstrap_threshold_std,cdfm_bootstrap_threshold_crossing_rate
train_linear_gaussian_008,0.07345145085845678,0.0714996585469307,0.13673887218506853,0.13391070457737125,-0.005788727263585029,-0.0077887779250188595,-0.0007792366969257542,0.28501873504606984,0.8276585762988847,0.4219531283534945,0.3276585762988848,0.12222222222222222,4.0,0.7395737563634831,0.49447200487120163,0.16540745634176193,0.40193860178586194,0.011111111111111112,0.022222222222222223,0.03888888888888889,0.75,0.06665481525475009,0.14783381701873555,0.03264081203960273,0.03888888888888889
train_linear_gaussian_009,0.043886488920039685,0.12713350488930053,0.19454907493450727,0.19253899227232563,-0.008495470337159144,-0.007538562816795732,0.0031407099086852366,0.3076188410891488,0.7918596601924109,0.4554959292071831,0.2918596601924109,0.1111111111111111,5.0,0.7056402475124129,0.4348187989869682,0.1350204296300624,0.2493066668829392,0.0,0.011111111111111112,0.03888888888888889,0.7307692307692308,0.07553731570964065,0.1880835968370785,0.02259969733999312,0.03888888888888889
train_linear_laplace_000,0.13852308740525593,1.611813926654667,0.26497929438607143,0.2595654363654364,-0.013092229236469351,-0.013865006410216383,0.022174469251138963,0.3032130021598527,0.8816859532324253,0.2879709943435746,0.38168595323242516,0.15555555555555556,6.0,0.7618610198107384,0.5170928106408677,0.12009540730352218,0.22812742652997606,0.011111111111111112,0.05555555555555555,0.061111111111111116,0.7418478260869565,0.07629874344026674,0.1838626349075095,0.005310140327709101,0.061111111111111116
train_linear_laplace_001,0.15517906317302835,2.5837489110619596,0.1315486091039661,0.12503898023898025,-0.015000730165023592,-0.02041922954602573,0.0020317331343199874,0.2459359098338714,0.8740896418740575,0.3131602413868935,0.37408964187405724,0.12222222222222222,5.0,0.773761952472507,0.5628609890733862,0.14200029851825843,0.46389122624790446,0.0,0.044444444444444446,0.03888888888888889,0.7416666666666667,0.05980437931161225,0.15409931588489567,0.010744375261804273,0.03888888888888889
train_linear_laplace_002,0.1568731770562997,1.6472588654377813,0.13419645067114008,0.12782849449516118,-0.010666708337088753,-0.014203008652301109,0.0026429889086074998,0.25078020286429403,0.8476064776321317,0.37446948650016876,0.34760647763213154,0.08888888888888889,3.0,0.7991273861140832,0.5775732510709619,0.19314270453732815,0.5316781162879438,0.011111111111111112,0.022222222222222223,0.022222222222222223,0.8,0.09658680078283652,0.19580623458508278,0.01953324987159344,0.022222222222222223
train_linear_laplace_003,0.11524867484370369,2.017996801935053,0.1814188920433111,0.17862349489016158,-0.00576045216161796,-0.00700922196250274,0.02884064289224068,0.2901525824314611,0.8393497289177974,0.37867238256347857,0.3393497289177975,0.13333333333333333,5.0,0.7659672721157171,0.523117244114805,0.211107133870932,0.3874187912166392,0.0,0.022222222222222223,0.06111111111111111,0.6764705882352942,0.07928742683198638,0.18428898788171766,0.016738160859551876,0.06111111111111111
train_linear_laplace_004,0.09579219886106596,1.626165305336123,0.21066519683986246,0.20051222904556232,-0.00844630923883197,-0.012300428011365713,0.011900834845317683,0.27926940762237396,0.8547757499448199,0.3394720066966591,0.3547757499448198,0.12222222222222222,4.0,0.7833152992256674,0.5486787213839491,0.19431430145710288,0.3724462218856333,0.0,0.0,0.005555555555555556,0.9583333333333333,0.05869390618458209,0.15795633085719307,0.0008698351680226368,0.005555555555555556
train_linear_laplace_005,0.16354532040779052,1.867307051941042,0.20575418992603325,0.1962701029367696,-0.010407061262882392,-0.012647021207754178,0.0034825255431496934,0.32608414127909463,0.8089051765953169,0.40883330164961135,0.30890517659531697,0.14444444444444443,6.0,0.705605342603985,0.43835539149053837,0.1386562840479354,0.2617351143857316,0.0,0.0,0.027777777777777776,0.823076923076923,0.08747615380152994,0.19099156086361568,0.0018127068000642899,0.027777777777777776
train_linear_laplace_006,0.20055729988577037,1.3518329143773387,0.2781456958254014,0.2699006851006851,-0.01036549223280375,-0.013520664593973114,0.06883177429191781,0.31286887322850193,0.8604486419543764,0.32426477609691023,0.36044864195437637,0.2,6.0,0.7061770523897807,0.471360559996738,0.17977370155176103,0.28101972140130205,0.022222222222222223,0.022222222222222223,0.08333333333333334,0.6590909090909092,0.09378900742001522,0.25622740950410405,0.0129433772888492,0.08333333333333334
train_linear_laplace_007,0.1671801940789899,1.8609090384293583,0.20304375554413873,0.20072720739387404,-0.009892530778369043,-0.016532995571827788,0.00917359388340812,0.2806457408758114,0.859440439971283,0.3487400676838731,0.3594404399712831,0.14444444444444443,5.0,0.7352703008833982,0.5077559741309051,0.1719023854672442,0.3990079160195631,0.03333333333333333,0.03333333333333333,0.02777777777777778,0.8392857142857143,0.07702168603355611,0.17830824141667476,0.0012962095129430695,0.02777777777777778
