split,domain,model,selected,diagnostic_only,n_tasks,spearman_ci_low,spearman_ci_high,risk_at_50_ci_low,risk_at_50_ci_high,spearman,pearson,mae,risk_at_25,risk_at_50,risk_at_75,risk_at_100,full_risk,relative_risk_reduction_at_50
FINAL,piecewise_student_t3,M4_HistGradientBoosting,False,True,20,0.12533536814045942,0.8915194200704989,0.03476393188854489,0.14103521671826616,0.5747656143334078,0.6554321569545701,0.09960847090160956,0.06673546611627106,0.08682927151967398,0.10504960266929124,0.1406125988273653,0.1406125988273653,0.3824929469778371
FINAL,quadratic_exponential,B0_constant,False,False,20,0.0,0.0,0.25210240316772364,0.33750790063330244,,,0.08196106664996683,0.2954179507023529,0.2954179507023529,0.2954179507023529,0.2954179507023529,0.2954179507023529,0.0
FINAL,quadratic_exponential,B1_metadata_ridge,False,False,20,-0.2597684842869212,0.5936968732959947,0.20924162311938205,0.32422433598240047,0.23467470632883713,0.30544797530049467,0.1289800101170827,0.28103430619559655,0.259514899990282,0.28393726194249275,0.2954179507023529,0.2954179507023529,0.12153307077891438
FINAL,quadratic_exponential,B2_ood_only,False,False,20,0.0476512872732727,0.8237531166486565,0.20387382103434926,0.3179929218629407,0.5031967260704874,0.538588338566284,0.11259067538961216,0.23694637012714814,0.23760845207360393,0.2763846112525873,0.2954179507023529,0.2954179507023529,0.19568715608278886
FINAL,quadratic_exponential,B3_confidence_ridge,False,False,20,-0.09715477996965097,0.7674061360769109,0.2077840913218487,0.32877311171523915,0.4264761490014444,0.4622990710492381,0.07059573838105851,0.233787366968145,0.27071187808025565,0.2757222591689937,0.2954179507023528,0.2954179507023528,0.08363091194478456
FINAL,quadratic_exponential,B4_threshold_aware_ridge,False,False,20,0.06596549563459368,0.8290482878793514,0.19788782995255513,0.326550355729805,0.5445656646861478,0.5860918237004071,0.06264662647729918,0.18443671761749564,0.26005011337437334,0.26548866628801476,0.2954179507023528,0.2954179507023528,0.11972135492746076
FINAL,quadratic_exponential,B5_proposed_ridge,False,False,20,0.10056110581536928,0.8241169998965993,0.20049005088478766,0.32164197856336335,0.5535916149295647,0.6186082206489997,0.06148627343199522,0.18443671761749564,0.2638807585356637,0.2667958558304985,0.2954179507023528,0.2954179507023528,0.10675448831633229
FINAL,quadratic_exponential,B6_selected_proposed,True,False,20,0.09848112364186495,0.8366642305838164,0.20037289955519083,0.3242439895079116,0.5430613396455783,0.598134065010712,0.062365039594172646,0.18443671761749564,0.27071187808025565,0.2685538003876316,0.2954179507023528,0.2954179507023528,0.08363091194478456
FINAL,quadratic_exponential,M2_AdditiveSpline,False,True,20,-0.08931730780335138,0.6987802867260026,0.21620984590444617,0.3204180742508232,0.36780747241923517,0.4278089673631288,0.07293821880475626,0.2343392517305561,0.27349383296747376,0.27600775680710526,0.2954179507023529,0.2954179507023529,0.07421389825078259
FINAL,quadratic_exponential,M3_RandomForest,False,True,20,0.07351157145941821,0.8321941387277232,0.19950025606076757,0.32593750093373075,0.5430613396455783,0.598134065010712,0.062365039594172646,0.18443671761749564,0.27071187808025565,0.2685538003876316,0.2954179507023528,0.2954179507023528,0.08363091194478456
FINAL,quadratic_exponential,M4_HistGradientBoosting,False,True,20,-0.20093390745000042,0.7322713034729778,0.21421590664542978,0.3382164696054731,0.31966907112101217,0.46660452929525925,0.07301260733391925,0.22382551218455848,0.2795198562800246,0.2782760226098539,0.2954179507023529,0.2954179507023529,0.05381560052302413
FINAL,quadratic_gaussian,B0_constant,False,False,20,0.0,0.0,0.26124754034023756,0.3535247402484671,,,0.08557665299544588,0.3059513266581716,0.3059513266581716,0.3059513266581716,0.3059513266581716,0.3059513266581716,0.0
FINAL,quadratic_gaussian,B1_metadata_ridge,False,False,20,-0.6291166524980212,0.23687856682793837,0.25410905750809476,0.38191173574499876,-0.23308270676691725,-0.24813386360717807,0.10093376700180598,0.34697318007662836,0.319735068639734,0.3048245705289353,0.3059513266581716,0.3059513266581716,-0.04505207456401221
FINAL,quadratic_gaussian,B2_ood_only,False,False,20,-0.8168086551170408,-0.12676062662229468,0.2847122794866203,0.4229494324482518,-0.5533834586466165,-0.6182526383644302,0.09400955403169528,0.393403886377246,0.35756305060145455,0.3315368602291295,0.3059513266581716,0.3059513266581716,-0.16869259730632535
FINAL,quadratic_gaussian,B3_confidence_ridge,False,False,20,0.22782841358380024,0.8691242402592694,0.2089701875252849,0.30538604752245724,0.6210526315789473,0.7111511929812078,0.07240917870155283,0.221007591442374,0.26230037642243303,0.25744854230184316,0.3059513266581716,0.3059513266581716,0.14267285817167968
FINAL,quadratic_gaussian,B4_threshold_aware_ridge,False,False,20,0.36041261409546627,0.9147356465829507,0.1954979296066252,0.29456474870099825,0.7293233082706766,0.8183126007797072,0.059461188564937206,0.22418219461697717,0.2381705330975433,0.2574485423018432,0.3059513266581716,0.3059513266581716,0.22154110034749855
FINAL,quadratic_gaussian,B5_proposed_ridge,False,False,20,0.350608770750255,0.9069448099536234,0.19602927526325692,0.29391952582605946,0.7338345864661654,0.8198540034544057,0.06245152305964659,0.22418219461697717,0.2381705330975433,0.2574485423018432,0.3059513266581716,0.3059513266581716,0.22154110034749855
