dataset_id,base_seed,lambda,n_samples,n_variables,edge_count,cdfm_f1,lingam_f1,cdfm_precision,lingam_precision,cdfm_recall,lingam_recall,cdfm_shd,lingam_shd,cdfm_runtime_sec,lingam_runtime_sec,cdfm_threshold,winner,winner_margin,raw_prediction_path
seed_16_lambda_0p75,16,0.75,1000,10,14,0.8484848484848484,0.3703703703703704,0.7368421052631579,0.38461538461538464,1.0,0.35714285714285715,5,11,1.8415992999944137,0.19439009999041446,0.673819259505541,cdfm,0.478114478114478,results/raw_predictions/seed_16_lambda_0p75.npz
seed_16_lambda_1p00,16,1.0,1000,10,14,0.7333333333333334,0.25,0.6875,0.2222222222222222,0.7857142857142857,0.2857142857142857,7,16,1.9417960999999195,0.22358999999414664,0.7256626524761101,cdfm,0.4833333333333334,results/raw_predictions/seed_16_lambda_1p00.npz
seed_17_lambda_0p00,17,0.0,1000,10,11,0.6923076923076923,1.0,0.6,1.0,0.8181818181818182,1.0,7,0,1.8673416999954497,0.2238255999982357,0.7414003512798497,lingam,0.3076923076923077,results/raw_predictions/seed_17_lambda_0p00.npz
seed_17_lambda_0p25,17,0.25,1000,10,11,0.8148148148148148,1.0,0.6875,1.0,1.0,1.0,5,0,1.9091377000004286,0.2144479999988107,0.7107075724016394,lingam,0.18518518518518523,results/raw_predictions/seed_17_lambda_0p25.npz
seed_17_lambda_0p50,17,0.5,1000,10,11,0.6923076923076923,0.5217391304347826,0.6,0.5,0.8181818181818182,0.5454545454545454,8,7,1.8527948999981163,0.19765729999926407,0.678941814348336,cdfm,0.1705685618729097,results/raw_predictions/seed_17_lambda_0p50.npz
seed_17_lambda_0p75,17,0.75,1000,10,11,0.5405405405405405,0.08695652173913043,0.38461538461538464,0.08333333333333333,0.9090909090909091,0.09090909090909091,17,13,1.9436603999929503,0.19216610000876244,0.5730551219454952,cdfm,0.45358401880141,results/raw_predictions/seed_17_lambda_0p75.npz
seed_17_lambda_1p00,17,1.0,1000,10,11,0.7692307692307692,0.09090909090909091,0.6666666666666666,0.09090909090909091,0.9090909090909091,0.09090909090909091,6,13,1.8653841000050306,0.2061868000018876,0.7247893500124082,cdfm,0.6783216783216782,results/raw_predictions/seed_17_lambda_1p00.npz
seed_18_lambda_0p00,18,0.0,1000,10,11,0.8,0.9565217391304348,0.7142857142857143,0.9166666666666666,0.9090909090909091,1.0,5,1,1.9622117999970214,0.21662300000025425,0.7536974095630676,lingam,0.15652173913043477,results/raw_predictions/seed_18_lambda_0p00.npz
seed_18_lambda_0p25,18,0.25,1000,10,11,0.7857142857142858,0.9565217391304348,0.6470588235294118,0.9166666666666666,1.0,1.0,6,1,1.859013799999957,0.21846560000267345,0.7377561607851668,lingam,0.170807453416149,results/raw_predictions/seed_18_lambda_0p25.npz
seed_18_lambda_0p50,18,0.5,1000,10,11,0.7200000000000001,0.6956521739130435,0.6428571428571429,0.6666666666666666,0.8181818181818182,0.7272727272727273,6,4,1.9069905000069411,0.19401680000009947,0.7072179507390434,cdfm,0.024347826086956625,results/raw_predictions/seed_18_lambda_0p50.npz
