dataset_id,base_seed,lambda,mean_abs_skewness,mean_abs_excess_kurtosis,mean_abs_pearson_correlation,mean_abs_spearman_correlation,nonlinearity_gain_median,nonlinearity_gain_mean,nonlinearity_gain_max
seed_12_lambda_0p50,12,0.5,0.27558395121759954,2.3437527931403195,0.07016318164089728,0.06206304979638314,0.004268976182576515,0.033504503033951784,0.189093636766627
seed_12_lambda_0p75,12,0.75,0.27628095687646603,2.164031335638194,0.0618217717805253,0.06969999609999611,0.01120754371101787,0.05245379881811858,0.3463801980129633
seed_12_lambda_1p00,12,1.0,0.263786333157784,1.8166045967749818,0.08962100671740546,0.09516509196509197,0.012668535519632733,0.08168471356129835,0.48256508577034224
seed_13_lambda_0p00,13,0.0,0.15589074855693408,1.9378439893013426,0.22956525198095715,0.2294945164278498,-0.016649277175169862,-0.02158260644300502,0.0016528727560706112
seed_13_lambda_0p25,13,0.25,0.2483447518592564,1.9741086241248058,0.18280348811875888,0.18778659391992727,0.006279569688912414,0.013200326949947869,0.06673100783314843
seed_13_lambda_0p50,13,0.5,0.2712454926266189,2.043461773476315,0.13042799436291164,0.13291474438141104,0.028883404955290733,0.050966996775575146,0.16726545457925038
seed_13_lambda_0p75,13,0.75,0.2836829464051088,1.982953385034002,0.11820394433551452,0.1271675586342253,0.02479299995616209,0.06934898710487816,0.32034727941290414
seed_13_lambda_1p00,13,1.0,0.327745144531954,1.9069409880520134,0.11557544521705586,0.12289344876011543,0.03252801404807422,0.11783842753095677,0.45434006203148974
seed_14_lambda_0p00,14,0.0,0.1804660245840586,1.6466711015002697,0.208146558375429,0.19872215392215395,-0.013533826249435459,-0.02024073748959036,0.00258573553171437
seed_14_lambda_0p25,14,0.25,0.2189278033689946,1.862501355469376,0.15223326422410374,0.14842717909384578,-0.005131424952452798,0.0012291063019289363,0.0406448671710237
seed_14_lambda_0p50,14,0.5,0.2637742072702679,2.086548209093789,0.07810787956361014,0.07721832016797806,0.009647092920732079,0.03040013265084774,0.13318050407639076
seed_14_lambda_0p75,14,0.75,0.24078774100982736,1.8850766894670898,0.07709244176568465,0.0861949317949318,0.022293789821592535,0.06633272130582318,0.2725201171533217
seed_14_lambda_1p00,14,1.0,0.25112028040514317,1.6444135355184688,0.10328369904387026,0.10858304671638004,0.021335024325167026,0.07553252936814367,0.4068230454835214
seed_15_lambda_0p00,15,0.0,0.19779069532508858,1.910829923043572,0.15822033530305465,0.1505188494521828,-0.013243427328008282,-0.0175175195150343,0.00011039444084728132
seed_15_lambda_0p25,15,0.25,0.21285672335660788,2.0815132869738555,0.13441734208031755,0.13529495769495767,0.002132904501227437,0.0023651150471843694,0.03901746706958903
seed_15_lambda_0p50,15,0.5,0.24869185652681763,2.2948809071671383,0.096608852637216,0.10052663439330108,0.012757515152414751,0.028916530382402755,0.1628534014161231
seed_15_lambda_0p75,15,0.75,0.28860979514711194,2.0861137183328786,0.09686590868902945,0.09693074279740947,0.022950820193430935,0.05878409229964086,0.3126971011027986
seed_15_lambda_1p00,15,1.0,0.34876227134431104,1.9758045903117556,0.10630831937830038,0.10564120297453634,0.021036414852440642,0.09333105822162292,0.4518290825715104
seed_16_lambda_0p00,16,0.0,0.17586198199156494,1.8024762652293596,0.1775306778008903,0.1685924885924886,-0.020958931959772623,-0.02913140281617228,-0.002608919689128119
seed_16_lambda_0p25,16,0.25,0.17101407140254216,1.9935213857331882,0.13647272753790285,0.12896763883430554,-0.0011809974274379683,-0.011623771251384484,0.029548321744537236
seed_16_lambda_0p50,16,0.5,0.17044811126220663,2.1087094165473563,0.08116310820463765,0.07904501664501665,0.005989674158806099,0.026711628087769158,0.15377988144805543
seed_16_lambda_0p75,16,0.75,0.17974123485703147,1.7523629702392962,0.08826638283909602,0.11145714079047413,0.024054433275773557,0.056067026999417,0.2596823271967854
seed_16_lambda_1p00,16,1.0,0.15931388949986516,1.357263711044075,0.12078772883927624,0.15141997941997942,0.04870414644152307,0.11200067200050934,0.44115935371113996
seed_17_lambda_0p00,17,0.0,0.07816976390361156,1.6197401765246628,0.2299454248421706,0.2248247885581219,-0.014110317564883929,-0.02400150606816509,-0.001653460847883133
seed_17_lambda_0p25,17,0.25,0.10426498667181208,1.909537465416312,0.16756599011102155,0.1674672200005534,-0.0004928052768997619,3.229812248902535e-05,0.06314292594948419
seed_17_lambda_0p50,17,0.5,0.11376865814144385,2.0672085647184195,0.10097082015318062,0.09883304336637672,0.020625782312551248,0.03200836141406911,0.2086781031400628
seed_17_lambda_0p75,17,0.75,0.13164792021857857,1.8512762588460228,0.10069580934751193,0.1111801431801432,0.03666860402461711,0.07981620313102802,0.36928538334079236
seed_17_lambda_1p00,17,1.0,0.15256711051502725,1.6696854733236925,0.11463039639414616,0.13803010629677298,0.03258656011414721,0.08683163721059203,0.40448640339361003
seed_18_lambda_0p00,18,0.0,0.10118330319458077,1.3546963331093163,0.2307152730510322,0.22535657442324117,-0.004233821776467253,-0.001528200340292862,0.023312351907979065
seed_18_lambda_0p25,18,0.25,0.13871229792125173,1.3146864795078348,0.20262780792892088,0.21038893572226908,0.016226351866754925,0.022100480572476915,0.06522705564180177
seed_18_lambda_0p50,18,0.5,0.14524441450823447,1.3597882681141251,0.16794381076604084,0.18595958915958913,0.028248369885002067,0.05024931295068088,0.19511629063440677
seed_18_lambda_0p75,18,0.75,0.12874372012377558,1.3117364099581246,0.13877046631221365,0.1615938791938792,0.03549103878488886,0.08907353301884882,0.3559242150777428
seed_18_lambda_1p00,18,1.0,0.1257827182992942,1.1748267469791327,0.11722625199763939,0.14078020531353866,0.04106499596520938,0.10773821028792421,0.49945325074894864
seed_19_lambda_0p00,19,0.0,0.1418112839782794,2.4531294505120025,0.14250739717263422,0.13953758993758997,-0.008640942678315198,-0.019451814817866005,0.0004833888602795863
seed_19_lambda_0p25,19,0.25,0.14734732917739243,2.5729949671181487,0.11017629416196188,0.1101817125817126,-0.0014127705887494063,-0.005680002289240089,0.02239509059439264
seed_19_lambda_0p50,19,0.5,0.15976664535891966,2.6802437407440607,0.0651334159701722,0.06748630348630348,0.003578210043910279,0.010357732572274035,0.08590961547166208
seed_19_lambda_0p75,19,0.75,0.18905364357727528,2.6731765570614403,0.04802700774754669,0.053381349381349384,0.005236125763383512,0.02643702330942424,0.1481828467130709
seed_19_lambda_1p00,19,1.0,0.25416020501995823,2.6651807298697148,0.05937701544217349,0.06122483749150417,0.012602616484568107,0.059365967300793396,0.23976118382027956
seed_20_lambda_0p00,20,0.0,0.1317684205810863,1.9135360054314787,0.15722851155064618,0.15255490028823362,-0.012347633782299399,-0.015527145038145836,0.017790132300174132
seed_20_lambda_0p25,20,0.25,0.13828332270335203,2.0553473756553133,0.12214875763486203,0.11748515081848415,0.0003740151071976377,0.003236363145958794,0.07067720447359284
seed_20_lambda_0p50,20,0.5,0.15608333884149617,2.128258185656219,0.07890031742934359,0.07283000483000483,0.01790349750935813,0.03804994650828264,0.2042170120684928
seed_20_lambda_0p75,20,0.75,0.1843204199226431,2.0320425754905833,0.05031618196683816,0.05351007235788444,0.021988234606846475,0.06757924101108681,0.3375075522063122
seed_20_lambda_1p00,20,1.0,0.30446808301329403,2.0311712355064784,0.049337072622176466,0.048925680659014,-0.0033004449931172374,0.0739578616944827,0.44563904685446615
seed_21_lambda_0p00,21,0.0,0.09683087471450426,2.133511745275097,0.154245406072356,0.1492672499902718,-0.010818181090473535,-0.010747008462798146,0.01283753707697998
seed_21_lambda_0p25,21,0.25,0.17244819633861924,2.391108139929307,0.13357606563609495,0.12927587986188727,0.005831092082672474,0.006812537700867568,0.05305267229880237
seed_21_lambda_0p50,21,0.5,0.21992879906432,2.612591455568593,0.09755561041383538,0.0930523538986684,0.015891516670767797,0.036155042513460946,0.18807811650166156
seed_21_lambda_0p75,21,0.75,0.2376338130212717,2.475854157314017,0.07330755146812416,0.08045964036522003,0.030260706547082173,0.07750472580399002,0.3343145431540437
seed_21_lambda_1p00,21,1.0,0.2951603466108026,2.3349435875575906,0.07876753065207596,0.09563173313159004,0.019406327197883527,0.0841951810850995,0.46452129807018083
seed_22_lambda_0p00,22,0.0,0.1939642758671402,2.0184483022275073,0.27676058996508796,0.2659039491039491,-0.014757483766635271,-0.01731466291630693,0.018892348146770765
seed_22_lambda_0p25,22,0.25,0.21539207096340846,2.1257018406079657,0.22410960472474595,0.2309087978421312,0.004313792022767794,0.0037569334072922594,0.04373032623934949
seed_22_lambda_0p50,22,0.5,0.2651659035985059,2.3871952850685725,0.16539505322288356,0.1796435569768903,0.031012938119165938,0.05121148380911574,0.17118361577309665
seed_22_lambda_0p75,22,0.75,0.3057887969849763,2.482188460863964,0.10766038010273261,0.13489731676398342,0.04156626910479301,0.0795125748702914,0.3173819249181461
seed_22_lambda_1p00,22,1.0,0.3690588458512617,2.48809616241084,0.09095077646566559,0.11746075140111387,0.00526773302119904,0.06345213709874008,0.41927699307088984
