dataset_id,n_samples,n_variables,cdfm_f1,cdfm_precision,cdfm_recall,cdfm_shd,cdfm_auroc,cdfm_threshold,cdfm_runtime_sec,lingam_f1,lingam_precision,lingam_recall,lingam_shd,lingam_runtime_sec,mean_abs_skewness,mean_abs_excess_kurtosis,mean_abs_pearson_correlation,mean_abs_spearman_correlation,nonlinearity_gain_median,nonlinearity_gain_mean,nonlinearity_gain_max,feature_runtime_sec,router_defer_probability,router_prediction,selected_solver,router_target,hybrid_f1,oracle_f1,lingam_failure,router_failure
uniform_pol_1_strong,1000,20,0.8059701492537313,0.9642857142857144,0.6923076923076923,13,0.9681930972253552,0.8751202524994481,4.451374800002668,0.2424242424242424,0.2,0.3076923076923077,62,1.415336500009289,0.3373913331411605,1.5953802458159767,0.1539924576514405,0.1562527473902988,0.0172384244646492,0.0182605057573174,0.0648496229098168,0.2088474000047426,0.199079039308866,0,CDFM,0,0.8059701492537313,0.8059701492537313,,
uniform_pol_2_strong,1000,20,0.7323943661971831,0.8125,0.6666666666666666,18,0.9660876757650952,0.8631188503269406,4.408231599983992,0.2826086956521739,0.2452830188679245,0.3333333333333333,53,1.5782111999869812,0.2984350392777959,1.349236749409939,0.1576860613535614,0.1606504749604431,0.0149108336245361,0.0170908219371399,0.073350114552465,0.2282920999859925,0.2457090722248073,0,CDFM,0,0.7323943661971831,0.7323943661971831,,
uniform_v_angle_1_strong,1000,20,0.6885245901639344,0.9545454545454546,0.5384615384615384,18,0.9399954883825852,0.8961824112223676,4.1630511000112165,0.6944444444444444,0.7575757575757576,0.6410256410256411,21,1.3718217000132427,,,,,,,,0.0001058999914675951,,0,CDFM_FEATURE_FAILURE_FALLBACK,0,0.6885245901639344,0.6944444444444444,,ValueError: X contains a constant column
uniform_v_angle_2_strong,1000,20,0.6885245901639344,0.9545454545454546,0.5384615384615384,18,0.9475900443642379,0.8938888342688207,4.153090500010876,0.6857142857142857,0.7741935483870968,0.6153846153846154,22,1.2763563999906182,,,,,,,,8.909997995942831e-05,,0,CDFM_FEATURE_FAILURE_FALLBACK,0,0.6885245901639344,0.6885245901639344,,ValueError: X contains a constant column
uniform_l_11_mid,1000,20,0.7076923076923076,0.8846153846153846,0.5897435897435898,18,0.9383412286638093,0.8790628471573603,4.169690200011246,0.6470588235294118,0.7586206896551724,0.5641025641025641,22,1.285248500003945,0.14219899576533418,0.914969014117491,0.17304640538843807,0.1725442535048036,0.022964320808704426,0.027608125074155714,0.0760250218034258,0.16836199999670498,0.6347343570420435,1,DirectLiNGAM,0,0.6470588235294118,0.7076923076923076,,
uniform_l_12_mid,1000,20,0.7692307692307693,0.9615384615384616,0.6410256410256411,15,0.9671403864952253,0.8748465059308008,4.186500400013756,0.6,0.6774193548387096,0.5384615384615384,26,1.294357900012983,0.12647540769045035,0.9170666348070837,0.17509277572327128,0.17432938748768534,0.046447126869622365,0.03874975065741133,0.08713581437009943,0.1645825000014156,0.5364701068856619,1,DirectLiNGAM,0,0.6,0.7692307692307693,,
uniform_l_21_mid,1000,20,0.676923076923077,0.8461538461538461,0.5641025641025641,20,0.9609745093616061,0.8673275204426366,4.2045731999969576,0.5384615384615384,0.5384615384615384,0.5384615384615384,32,1.316714000015054,0.15430492506739793,0.9089510075548111,0.1723187657412333,0.17079805115100716,0.022263823218676884,0.030355746246237658,0.08090978085951474,0.17572820000350475,0.5893483078699101,1,DirectLiNGAM,0,0.5384615384615384,0.676923076923077,,
uniform_l_22_mid,1000,20,0.7272727272727274,0.8888888888888888,0.6153846153846154,17,0.9362358072035493,0.8760186550158894,4.132376399997156,0.6571428571428573,0.7419354838709677,0.5897435897435898,22,1.3122749000031035,0.12543593704581696,0.9318174817286909,0.17636571692944822,0.17486492332703232,0.026439976150882043,0.02695566044930839,0.05970979704848917,0.1732723999884911,0.7178458577590594,1,DirectLiNGAM,0,0.6571428571428573,0.7272727272727274,,
uniform_l_31_mid,1000,20,0.7692307692307693,0.9615384615384616,0.6410256410256411,15,0.953755921497857,0.8717600646113784,4.205972600000678,0.6756756756756757,0.7142857142857143,0.6410256410256411,23,1.2948382000031415,0.13208302398977695,0.926408562923182,0.16945288914105797,0.16926002738195933,0.02231847008024542,0.029146595599730464,0.09534361053987575,0.16906260000541806,0.6053557277846381,1,DirectLiNGAM,0,0.6756756756756757,0.7692307692307693,,
uniform_l_32_mid,1000,20,0.6969696969696971,0.8518518518518519,0.5897435897435898,18,0.91232423490488,0.8605046128351574,4.187279600009788,0.7397260273972601,0.7941176470588235,0.6923076923076923,18,1.310792100004619,0.14468002760979076,0.9199338803681295,0.17407570680147133,0.17395006245004563,0.02397571267274596,0.023992350852917153,0.07162347187310229,0.1692431999836117,0.63114384303145,1,DirectLiNGAM,1,0.7397260273972601,0.7397260273972601,,
