task_id,graph_seed,mechanism,mean_abs_skewness,mean_abs_excess_kurtosis,mean_abs_pearson_correlation,mean_abs_spearman_correlation,nonlinearity_gain_median,nonlinearity_gain_mean,nonlinearity_gain_max,cdfm_edge_count,cdfm_edge_density,cdfm_mean_degree,cdfm_max_degree,cdfm_lingam_adj_disagreement,cdfm_mean_edge_probability,cdfm_mean_confidence,cdfm_mean_entropy,cdfm_mean_margin,cdfm_bootstrap_disagreement,cdfm_bootstrap_edge_jaccard,cdfm_auto_threshold,cdfm_threshold_margin_mean,cdfm_threshold_margin_p10,cdfm_threshold_margin_p25,cdfm_threshold_near_frac_002,cdfm_threshold_near_frac_005,cdfm_runtime_sec,bootstrap_runtime_sec,lingam_runtime_sec
sine_seed_321010,321010,sine,0.08143499237783305,1.3012808060918988,0.10520261176884317,0.13782227328893998,0.009669484761230553,0.10484316996579286,0.43904578563263197,17.0,0.18888888888888888,3.4,7.0,0.2,0.3535698060947884,0.7879039085637719,0.4644123329204141,0.28790390856377185,0.05555555555555555,0.7493734335839599,0.6671039114363461,0.379137930434818,0.09696300545273588,0.23193171250363503,0.0,0.05555555555555555,2.064600799989421,4.005561999976635,0.1990049000014551
sine_seed_321011,321011,sine,0.2545188157980909,2.3946850566320377,0.0641773151616524,0.083650506317173,-0.0018670557481613925,0.08105100639086152,0.448734198797766,12.0,0.13333333333333333,2.4,6.0,0.13333333333333333,0.2806059367874009,0.8530100416413767,0.37462657334518434,0.35301004164137684,0.06666666666666667,0.6466165413533835,0.7411306432668678,0.5023716044767873,0.11280026614867764,0.31795045954875706,0.03333333333333333,0.05555555555555555,2.1579370999825187,4.3708457999746315,0.20169640000676736
sine_seed_321012,321012,sine,0.22482828226863902,1.4510999265531022,0.1312242423988308,0.16839573932907267,0.020976553802524483,0.12622938694382999,0.492525591480109,16.0,0.17777777777777778,3.2,6.0,0.32222222222222224,0.3340780842101813,0.8134903121158843,0.40743808768052936,0.3134903121158842,0.03888888888888889,0.7941176470588236,0.712664443783418,0.43839372850233227,0.13221475693181264,0.2473724786405889,0.022222222222222223,0.03333333333333333,2.0911907999543473,4.075153000012506,0.2082069999887608
sine_seed_321013,321013,sine,0.1986783375652573,2.019065510004169,0.06085739286456075,0.0766715094715095,0.007254770040974752,0.08966603986220453,0.47510777258910836,11.0,0.12222222222222222,2.2,6.0,0.17777777777777778,0.3161189518425347,0.8026895925844629,0.45824239945525946,0.3026895925844627,0.08888888888888889,0.5,0.7266343879934625,0.45496968460562626,0.14976632881980131,0.3284012292400338,0.0,0.011111111111111112,2.1352016999735497,4.03394270001445,0.21072370000183582
sine_seed_321014,321014,sine,0.19398935279801424,1.9113233480022767,0.07770804738400104,0.09949048695715364,0.0066315128445908166,0.07969239623463695,0.49360689321553197,10.0,0.1111111111111111,2.0,6.0,0.2111111111111111,0.2885662466935692,0.8003612496695175,0.45756352596222827,0.3003612496695176,0.03888888888888889,0.6681818181818182,0.6924777669002832,0.4397935773991731,0.15397156961061526,0.3521513042155596,0.03333333333333333,0.044444444444444446,2.197130399988964,4.131087400019169,0.21456619998207316
sine_seed_321015,321015,sine,0.1738629019624735,0.9263304369100556,0.19172569711724102,0.24303674330340996,0.025101450372393003,0.1267774392570536,0.4532543895043449,10.0,0.1111111111111111,2.0,4.0,0.3333333333333333,0.24807150842378323,0.8765513643687864,0.29904643465980446,0.3765513643687864,0.044444444444444446,0.7441176470588236,0.7761353421835956,0.5629897045438326,0.1523766853473205,0.3885331803892259,0.0,0.03333333333333333,2.1240178999723867,4.067303300020285,0.19549309997819364
sine_seed_321016,321016,sine,0.2592219441069614,2.1165328519458084,0.09454917658045668,0.12418674605341272,0.008909198175214898,0.08796835740653908,0.4462323097005917,19.0,0.2111111111111111,3.8,8.0,0.34444444444444444,0.39331420724126764,0.785015973076002,0.4656297464557342,0.2850159730760022,0.09444444444444444,0.6272893772893773,0.6566040530825014,0.36239909076736204,0.15657395349810296,0.24424030100510624,0.03333333333333333,0.044444444444444446,2.1329723999951966,4.050433500029612,0.21045740001136437
sine_seed_321017,321017,sine,0.19413820204915241,1.3639190555248362,0.15986746941918104,0.19679853919853924,0.013554681320358582,0.09150830246561836,0.42381010576454464,11.0,0.12222222222222222,2.2,6.0,0.4444444444444444,0.3578919722689467,0.763645471415975,0.49001098493904954,0.2636454714159751,0.11666666666666667,0.5350678733031674,0.6898684118712282,0.38231131195838114,0.12052873410316098,0.2465624496977527,0.022222222222222223,0.044444444444444446,2.134086499980185,4.14576429995941,0.21458159998292103
sine_seed_321018,321018,sine,0.19738711680804782,2.033001300159878,0.09962893250155253,0.12777317737317737,0.009611384787702112,0.07821529782924118,0.41276750354085784,19.0,0.2111111111111111,3.8,8.0,0.35555555555555557,0.36843485835552114,0.7854277052898564,0.47264419032395544,0.28542770528985634,0.06666666666666667,0.6921052631578948,0.6698990016308383,0.3751773424084879,0.10828357713763472,0.24547011122635537,0.044444444444444446,0.044444444444444446,2.0712862000218593,4.01165050000418,0.20821070001693442
sine_seed_321019,321019,sine,0.10997303505455598,1.5852140954709255,0.07869747029890105,0.09696584949918283,0.026735943175049265,0.08913780684461906,0.4667218811557833,14.0,0.15555555555555556,2.8,5.0,0.13333333333333333,0.3128064016616711,0.8201652258454727,0.43328900587998126,0.3201652258454729,0.03888888888888889,0.7595238095238095,0.6984325469248737,0.44187985908491895,0.15838747483889065,0.3009243387470323,0.011111111111111112,0.03333333333333333,2.1454231000388972,4.040327399969101,0.20713039999827743
sine_seed_321020,321020,sine,0.17883822216609654,1.074232914817858,0.1644088899940214,0.20872525965859295,0.02758745714649482,0.1291790957223702,0.46512551499933014,13.0,0.14444444444444443,2.6,8.0,0.3111111111111111,0.2776121760079307,0.844103458596337,0.3559479731432258,0.34410345859633706,0.06666666666666667,0.6026785714285714,0.7147852425329816,0.48129736602391254,0.1117575882501443,0.27690903723046045,0.011111111111111112,0.044444444444444446,2.080718299956061,4.048596300010104,0.20172810001531616
sine_seed_321021,321021,sine,0.14524779569665408,1.8921897256098212,0.08130458190103246,0.1028370321703655,0.014909706315236028,0.09131509675525469,0.4338437008250281,9.0,0.1,1.8,6.0,0.16666666666666666,0.2650476050363333,0.8251185070482043,0.40476027887717525,0.32511850704820444,0.022222222222222223,0.8080808080808081,0.7015884063129268,0.4727482320779893,0.17875851781622698,0.360382187087965,0.022222222222222223,0.03333333333333333,2.1571017999667674,4.030629199987743,0.21635259996401146
sine_seed_321022,321022,sine,0.1758992384902844,1.1990654682871074,0.11723250514749503,0.15061882048548714,0.00878397096286844,0.11373224746703418,0.4727828874732007,12.0,0.13333333333333333,2.4,5.0,0.3,0.3029080694595075,0.8128511584890985,0.4141101022630857,0.3128511584890988,0.03888888888888889,0.7604166666666667,0.7403003089865574,0.4806323232810168,0.19904324641469712,0.31097892009252126,0.011111111111111112,0.011111111111111112,2.1143660999950953,4.095212400017772,0.2075382000184618
sine_seed_321023,321023,sine,0.21187713750518503,2.0017575466207624,0.09459695365220434,0.12907523974190643,0.014223775017145073,0.11206116153036691,0.46640830383019527,11.0,0.12222222222222222,2.2,4.0,0.23333333333333334,0.33912117628540145,0.7874971444659538,0.4629063585316251,0.28749714446595376,0.15,0.39052631578947367,0.6978900976908807,0.4097263739968748,0.11150795867068496,0.25590047633204516,0.022222222222222223,0.06666666666666667,2.1849802999640815,4.020560800039675,0.20230639999499545
sine_seed_321024,321024,sine,0.13037556531712874,1.0043961759537139,0.1394871894455386,0.1751301524634858,0.016013474153252116,0.10187376793684833,0.4180707754563042,17.0,0.18888888888888888,3.4,6.0,0.24444444444444444,0.32532946316114464,0.8156241545816011,0.41687111579934155,0.315624154581601,0.08888888888888888,0.6227272727272727,0.6894672635207036,0.4217051952673259,0.13348556946974469,0.23888478117467654,0.03333333333333333,0.07777777777777778,2.1544438999844715,4.0345921000116505,0.21912979998160154
softsign_seed_320000,320000,softsign,0.23328410468044072,1.9495132034829172,0.15264504311092872,0.16214450961117627,0.034234552500860715,0.04167010434049542,0.13979932217868798,7.0,0.07777777777777778,1.4,3.0,0.14444444444444443,0.26886752145295617,0.8224198799913188,0.40359337540747425,0.32241987999131877,0.03888888888888889,0.6499999999999999,0.7697457591720415,0.5319521623621587,0.21387920978826427,0.40845736818721345,0.0,0.011111111111111112,2.2243785000173375,4.259326300001703,0.23525849997531623
softsign_seed_320001,320001,softsign,0.18265415194091728,1.8230254893161166,0.11650368703529672,0.12444748018081353,0.016767097019744583,0.038932324072008404,0.18528316388596291,11.0,0.12222222222222222,2.2,5.0,0.18888888888888888,0.24021832095080775,0.8732268478083354,0.32329723199887056,0.37322684780833537,0.05555555555555555,0.5944055944055944,0.7827165666746737,0.5800082558247075,0.19985185083094345,0.558740111894348,0.011111111111111112,0.011111111111111112,2.1525884000002407,4.175880099995993,0.224446399952285
softsign_seed_320002,320002,softsign,0.28038568171832,2.4300956547186003,0.12197275092945006,0.12857443737443738,0.028279304315795277,0.03842181348350974,0.18712549042214063,10.0,0.1111111111111111,2.0,7.0,0.08888888888888889,0.2774062490905581,0.8274001409444947,0.410730642778158,0.32740014094449466,0.04444444444444444,0.6964285714285714,0.7599924080848486,0.5158061454150216,0.19809590893118248,0.4607290505018855,0.011111111111111112,0.044444444444444446,2.2238312999834307,4.190084100002423,0.22148510004626587
softsign_seed_320003,320003,softsign,0.1193013924340316,1.0829118845402157,0.29594061391187937,0.32340452081175225,0.053496083719016985,0.058700695869719335,0.12325287319190129,11.0,0.12222222222222222,2.2,4.0,0.17777777777777778,0.3218991583707633,0.7843875531753112,0.4625876922961715,0.2843875531753112,0.06666666666666667,0.5857142857142856,0.6821669558759756,0.40330930230393497,0.1148694154921009,0.24590546362817883,0.022222222222222223,0.06666666666666667,2.1341736000031233,4.396388199995272,0.22531490004621446
softsign_seed_320004,320004,softsign,0.15298818111101734,1.3315089733743757,0.24222718928901246,0.2668233166899834,0.07199122452551883,0.06393714764817542,0.12211317977164025,10.0,0.1111111111111111,2.0,6.0,0.14444444444444443,0.20548981322512955,0.9014296111427424,0.2558797499760997,0.40142961114274234,0.016666666666666666,0.85,0.816486054178079,0.6397411776313389,0.17943837405768664,0.5778074994155669,0.011111111111111112,0.011111111111111112,2.230626000033226,4.146004699985497,0.22161200002301484
softsign_seed_320005,320005,softsign,0.2547856854459101,1.8271632481745343,0.17982157382503602,0.1913683841683842,0.041091749619693474,0.05242480967017299,0.17464681042353888,11.0,0.12222222222222222,2.2,5.0,0.08888888888888889,0.2788696525457854,0.8529243181438512,0.35915698505794497,0.3529243181438512,0.03888888888888889,0.7668269230769231,0.7699103662229482,0.5312666824363059,0.17351383541287435,0.34485000097452334,0.011111111111111112,0.044444444444444446,2.204331600049045,4.2161507999990135,0.22481109999353066
softsign_seed_320006,320006,softsign,0.21481784467855744,1.6490736808364013,0.13467261991054255,0.14353198486531818,0.021826448408991686,0.031732012679475695,0.1715781533707462,7.0,0.07777777777777778,1.4,3.0,0.06666666666666667,0.24249152350392547,0.8503315262748631,0.36819170360406234,0.350331526274863,0.027777777777777776,0.7916666666666667,0.7959301128688442,0.5817685054571471,0.19979119305605905,0.5376881842397909,0.011111111111111112,0.022222222222222223,2.121205599978566,4.200745800044388,0.22533230000408366
softsign_seed_320007,320007,softsign,0.17776860839951453,1.3190983504191416,0.23854233024863156,0.2579761238427905,0.029841172103673597,0.034947358658333934,0.13952131365238693,14.0,0.15555555555555556,2.8,5.0,0.23333333333333334,0.3011660391621551,0.8511483352478488,0.3408422132796232,0.3511483352478488,0.1111111111111111,0.5194508009153318,0.7317861277920801,0.48231542029566693,0.10525178390698403,0.2345767754835379,0.03333333333333333,0.03333333333333333,2.164519200043287,4.249254199967254,0.2227476999978535
